"dt_notificacao","ano_notificacao","mes_notificacao","qntd_casos","qntd_hospitalizacao","qntd_resultado_soro","qntd_resultado_ns1","qntd_resultado_pcr","qntd_auctone","qntd_febre","qntd_vomito","qntd_nausea","qntd_sangramento","precipitacao_total_mensal","temp_media_mensal","vento_vlc_media_mensal"
"2020-03-01","2020","3","83098","1761","19099","6066","264","38143","64184","16363","31979","0","0.12016823509591085225","22.6239077956148162","1.5510350429613228"
"2020-04-01","2020","4","49195","1087","14989","3833","127","24382","37269","8276","17304","0","0.03351682081512348816","20.3446726293322492","1.2997833113121252"
"2020-05-01","2020","5","31504","628","8131","2010","73","12948","23199","5019","10503","0","0.02920454545454545455","14.9928637633316404","1.09873412899949212798"
"2020-06-01","2020","6","19502","378","2772","539","24","4646","13885","3029","5929","0","0.05332068505794277510","14.0324294944108297","1.01495333811916726490"
"2020-07-01","2020","7","13728","292","1378","325","6","2178","9235","2128","4105","0","0.00362470862470862471","12.7060897435897436","1.07702068764568764569"
"2020-08-01","2020","8","7930","225","668","174","0","1023","5262","1285","2285","0","0.03181715006305170240","12.0568940731399748","1.1979798234552333"
"2020-09-01","2020","9","7436","251","532","135","2","810","4951","1275","2270","0","0.01218128025820333513","14.3233566433566434","1.1086121570736955"
"2020-10-01","2020","10","7008","257","527","96","2","760","4682","1229","2073","0","0.04448487442922374429","14.1335987442922374","1.2160673515981735"
"2020-11-01","2020","11","7046","193","481","124","4","761","4706","1243","2038","0","0.06789242123190462674","13.5518705648594947","1.1709920522282146"
"2020-12-01","2020","12","8720","195","700","169","10","1057","5773","1491","2457","0","0.15472477064220183486","14.4348325688073394","1.0524713302752294"
"2021-01-01","2021","1","14216","295","2338","694","34","45","9588","2608","4418","0","0.10823508722566122679","14.3162127180641531","0.89277293190770962296"
"2021-02-01","2021","2","33895","683","7372","3653","80","0","24403","6392","11248","0","0.08322761469243251217","13.4432969464522791","0.87562000295028765305"
"2021-03-01","2021","3","68130","968","13330","10854","134","0","49360","12001","22098","0","0.07870820490239248496","12.6376490532804932","0.70795699398209305739"
"2021-04-01","2021","4","78201","1050","17147","15705","161","0","57596","13169","24616","0","0.01800002557512052276","9.8857601565197376","0.74537959872635899797"
"2021-05-01","2021","5","52655","835","9890","7527","122","0","37253","8384","15476","0","0.01365891178425600608","8.4781585794321527","0.56441762415725002374"
"2021-06-01","2021","6","23624","431","3338","2437","43","0","15935","3727","6556","0","0.01683796139519133085","8.2511479850998984","0.59375677277345072807"
"2021-07-01","2021","7","9651","224","977","655","5","0","6302","1739","2771","0","0.00538182571754222360","7.7410299450834110","0.67074500051808102787"
"2021-08-01","2021","8","7209","220","465","208","3","0","4649","1385","2077","0","0.00704952143154390345","9.2633985296157581","0.79499375780274656679"
"2021-09-01","2021","9","7384","245","352","176","2","0","4886","1639","2322","0","0.01095070422535211268","10.6924133261105092","0.85074079089924160347"
"2021-10-01","2021","10","6499","216","318","150","2","0","4382","1488","2169","0","0.08262963532851207878","10.4747099553777504","1.0066025542391137"
"2021-11-01","2021","11","7948","227","703","274","2","0","5580","1719","2507","0","0.05745470558631102164","13.8902843482637141","1.1731869652742828"
"2021-12-01","2021","12","13818","297","1926","678","10","0","10286","2852","4397","0","0.04125560862642929512","10.4382877406281662","0.72180489216963381097"
"2022-01-01","2022","1","6657","92","2156","1070","45","0","5356","1348","2343","0","0.23703914279466433414","18.2453903345724907","1.4338727312486333"
"2022-02-01","2022","2","13519","306","5300","3192","210","0","10640","2707","5010","0","0.12892287764049422081","18.9171731765643683","1.15932642487046632124"
"2022-03-01","2022","3","59454","1216","17266","16382","508","0","47610","12459","22794","0","0.13974668670057019572","19.7994407844043766","1.2334579673293266"
"2022-04-01","2022","4","106725","2120","22644","29124","356","0","86486","23591","41889","0","0.04170499903020651497","17.4410312477669229","1.2158370338611052"
"2022-05-01","2022","5","95112","1902","23160","21152","306","0","76286","22154","38462","0","0.04781693654465460153","16.4183188188869234","1.3574455708259627"
"2022-06-01","2022","6","26918","494","5747","6052","53","0","21437","6472","10623","0","0.03325619373854855413","15.9287592607344858","1.17806699593722616108"
"2022-07-01","2022","7","10537","232","2549","2398","40","0","8326","2566","3917","0","0.00249698067632850242","17.1887520128824477","1.2790569645732689"
"2022-08-01","2022","8","5628","127","1508","1369","37","0","4482","1410","2064","0","0.03790706389357316845","15.7872774967210043","1.7474929735806633"
"2022-09-01","2022","9","2940","86","621","484","25","0","2355","748","1096","0","0.08723924142961342086","16.3469000729394602","1.9461852662290299"
"2022-10-01","2022","10","2782","85","589","421","10","0","2314","720","1028","0","0.13680064308681672026","22.9138987138263666","2.0611897106109325"
"2022-11-01","2022","11","3213","91","989","540","8","0","2685","782","1227","0","0.11172881355932203390","21.8091593220338983","2.2348440677966102"
"2022-12-01","2022","12","4480","138","1666","951","30","0","3631","966","1693","0","0.30334352941176470588","23.4581411764705882","1.8699529411764706"
"2023-01-01","2023","1","12679","379","5171","3140","100","9424","10591","2966","5319","0","0.36275310124049619848","23.0573709483793517","1.6580016006402561"
"2023-02-01","2023","2","33112","919","11348","9601","233","25249","27532","7505","13621","0","0.32261106018942865872","22.5550467461044913","1.3621396272532844"
"2023-03-01","2023","3","81752","1802","23963","25437","441","65472","69517","19147","33693","0","0.21040631942730190077","23.4738049864231054","1.1724966674895088"
"2023-04-01","2023","4","92033","1961","22176","32520","769","74010","78765","21662","37890","0","0.15787653671684964828","20.7495755264830276","1.1906396686608376"
"2023-05-01","2023","5","60008","1218","13114","22565","605","48816","50936","14214","23785","0","0.05413274530677075413","18.3645859312955171","1.0269067775130532"
"2023-06-01","2023","6","15057","384","3290","5808","251","11793","12576","3615","5743","0","0.09330443686006825939","17.4389747440273038","1.07922935153583617747"
"2023-07-01","2023","7","4270","136","1049","1401","46","3094","3397","1007","1573","0","0.01722826086956521739","17.0831398221343874","1.1500963438735178"
"2023-08-01","2023","8","2792","97","652","584","22","2107","2250","720","1018","0","0.05289036544850498339","17.5040162421557770","1.2326984126984127"
"2023-09-01","2023","9","2554","91","558","507","16","1896","2077","666","946","0","0.05555241935483870968","20.0070443548387097","1.3468306451612903"
"2023-10-01","2023","10","3351","120","714","759","13","2387","2686","780","1191","0","0.24079069767441860465","18.7900248062015504","1.2698263565891473"
"2023-11-01","2023","11","4765","176","954","1659","66","3617","3956","1162","1774","0","0.17439529309217694487","23.6287361080845500","1.5349335367182393"
"2023-12-01","2023","12","9402","303","1809","4706","76","7343","7655","2046","3351","0","0.13106539389949528198","23.8414823348694316","1.4986317752907615"
"2024-01-01","2024","1","42849","1174","9752","21887","454","36258","35537","10158","16849","0","0.31606785229998956921","23.7348416797664496","1.7445569854398436"
"2024-02-01","2024","2","136875","3091","21804","55671","513","112835","113125","33028","53426","0","0.27396081817691186788","24.0936336609587161","1.4110197618755370"
"2024-03-01","2024","3","307157","6797","36566","119559","991","249949","258927","76601","124158","0","0.23621586062257970764","23.9656261462893603","1.7491420174507309"
"2024-04-01","2024","4","406084","9757","44497","138140","661","327270","349264","103521","171751","0","0.06184845037425907130","23.0951497762758361","1.4637085093963911"
"2024-05-01","2024","5","362414","10268","38275","119930","449","293096","311935","89445","152734","0","0.06678447321591211624","21.4116315018291322","1.4675390242394463"
"2024-06-01","2024","6","126373","4119","14228","38084","167","101746","106190","31397","50745","0","0.00989577526479254599","19.8237331939893797","1.3387004301878838"
"2024-07-01","2024","7","41492","1439","5631","10987","92","29432","34177","10157","15947","0",NULL,NULL,NULL
"2024-08-01","2024","8","23293","758","2348","4083","82","10873","18026","6348","8381","0",NULL,NULL,NULL
"2024-09-01","2024","9","4531","139","165","392","0","1029","3457","1333","1648","0",NULL,NULL,NULL
