"dt_notificacao","ano_notificacao","mes_notificacao","qntd_casos","qntd_hospitalizacao","qntd_resultado_soro","qntd_resultado_ns1","qntd_resultado_pcr","qntd_auctone","qntd_febre","qntd_vomito","qntd_nausea","qntd_sangramento","precipitacao_total_mensal","temp_media_mensal","vento_vlc_media_mensal"
"2016-11-01","2016","11","8919","329","236","125","7","452","6871","1759","2262","0","0.17924601829888173501","22.5280210098271772","2.2318806346916697"
"2016-12-01","2016","12","9112","335","225","107","1","471","7132","1801","2415","0","0.21985211033565968760","23.8722297858210194","2.0334182776801406"
"2017-01-01","2017","1","10185","458","297","121","3","489","8073","2246","3077","0","0.39874586033117350612","23.8263045928430544","1.5907044364508393"
"2017-02-01","2017","2","10735","423","291","175","7","541","8728","2440","3387","0","0.12701765138514341750","25.5805553534618649","1.8526127286781757"
"2017-03-01","2017","3","12033","487","392","223","3","669","9820","2688","3653","0","0.24312089136490250696","23.6848119504184765","1.8714425427872861"
"2017-04-01","2017","4","8059","373","392","184","8","612","6727","1760","2429","0","0.15365902474526928675","21.8060509894811909","1.8796652487516183"
"2017-05-01","2017","5","6070","295","299","127","6","461","5006","1280","1875","0","0.16852450980392156863","20.3607602755999050","1.5324661580113217"
"2017-06-01","2017","6","3947","266","185","55","2","241","3275","822","1201","0","0.06247648902821316614","18.3652237654320988","1.5905560000000000"
"2017-07-01","2017","7","2498","202","163","35","1","188","2056","544","733","0","0.00337408312958435208","17.4366809290953545","1.9763094483195942"
"2017-08-01","2017","8","3071","204","160","49","0","202","2558","654","956","0","0.07914319952067106052","19.8158854667949952","2.1770104115022310"
"2017-09-01","2017","9","5536","326","341","44","3","351","4621","1217","1795","0","0.03668577124345875903","23.6530574826560951","2.2553522931078657"
"2017-10-01","2017","10","8054","370","504","61","1","522","6734","1839","2580","0","0.17056340368954628552","23.4092089650626236","2.3201126664390577"
"2017-11-01","2017","11","6979","331","483","51","1","479","5807","1548","2351","0","0.25096084698361965641","22.6353829704510109","2.2992963709677419"
"2017-12-01","2017","12","6828","339","452","61","3","444","5631","1584","2373","0","0.27512908777969018933","23.9514501116902457","1.8810995570960909"
"2018-01-01","2018","1","9659","812","609","97","3","614","7827","2473","3561","0","0.35602582728006456820","23.6647917981072555","1.7721978926572275"
"2018-02-01","2018","2","8779","643","581","125","17","811","7174","2195","3155","0","0.20356174842527199847","23.6066513543481704","1.8213124484748557"
"2018-03-01","2018","3","9206","627","923","171","45","1312","7665","2305","3269","0","0.23583533522603188469","24.4461220043572985","1.5394246850262014"
"2018-04-01","2018","4","8239","471","1307","286","52","1624","6815","1959","3067","0","0.05520884220810942843","21.9240925744992672","1.6185275689223058"
"2018-05-01","2018","5","7250","393","1477","270","37","1704","6036","1668","2678","0","0.02730929264909847434","19.8507253814147018","1.6546856414613424"
"2018-06-01","2018","6","4517","260","703","93","17","763","3782","1067","1674","0","0.02335188070331626975","19.6584464722902292","1.5393564468615454"
"2018-07-01","2018","7","3287","214","500","55","12","477","2769","697","1152","0","0.01497515527950310559","19.4215563014952701","1.5734752875349705"
"2018-08-01","2018","8","2934","210","356","25","6","337","2387","639","1025","0","0.07529390808692554328","18.5785410958904110","2.0438811188811189"
"2018-09-01","2018","9","2977","233","121","21","4","176","2485","739","1068","0","0.13852602165560600768","20.9873042016806723","2.0939561551433390"
"2018-10-01","2018","10","4502","282","217","43","18","351","3754","1093","1517","0","0.22952115812917594655","22.3111514476614699","2.1400044832997086"
"2018-11-01","2018","11","5900","303","624","70","50","708","4886","1342","2170","0","0.27006266318537859008","22.8401222410865874","2.3774128568926257"
"2018-12-01","2018","12","9739","498","1588","210","101","2446","8080","2245","3719","0","0.17462316745818707413","24.7921116604861970","1.8067906829679595"
"2019-01-01","2019","1","31724","1107","8237","1311","562","15665","24952","7328","12547","0","0.15570826734241368388","24.6849987329743427","1.2726113398796326"
"2019-02-01","2019","2","70404","1982","14518","3442","572","36148","53321","15551","29119","0","0.29722017061719912974","22.7318160998511394","1.4157868143822283"
"2019-03-01","2019","3","105923","2488","19587","6507","299","50635","80253","22865","43139","0","0.18267522708898083417","22.8649003661958434","1.4124961240310078"
"2019-04-01","2019","4","171187","3493","31811","11498","334","89289","134680","36221","68265","0","0.14900140108790354864","22.9239531283113947","1.3433939882732475"
"2019-05-01","2019","5","182583","3850","36257","12086","190","93508","146612","37193","69822","0","0.06720086083213773314","20.0145165544641872","1.3005135746606335"
"2019-06-01","2019","6","69464","1629","13371","3440","82","31600","55697","13891","25513","0","0.04170727829806914094","17.9649231124985547","1.3112709561799052"
"2019-07-01","2019","7","25592","754","4354","1074","32","9657","19984","4779","8572","0","0.07159112222569552985","16.4598632385120350","1.4746178493279150"
"2019-08-01","2019","8","11717","405","1482","289","18","3157","9472","2344","3763","0","0.02914056499103866177","15.7548408295638815","1.63918409149099598873"
"2019-09-01","2019","9","10309","409","1316","259","10","1952","8416","2127","3210","0","0.07286157726258608982","18.4204694926763023","1.73022019594529052284"
"2019-10-01","2019","10","11656","426","1254","226","2","2210","9571","2498","3732","0","0.06945178448867536033","21.8062088194921071","1.8837937542896362"
"2019-11-01","2019","11","12348","446","1559","286","4","3172","9964","2714","4235","0","0.19499595076125688371","22.2688402980239715","1.9462641723356009"
"2019-12-01","2019","12","16266","591","2894","473","18","5629","13076","3380","5872","0","0.22827492930038116316","21.5359609000368868","1.4335737120373786"
"2020-01-01","2020","1","54898","1662","14076","3814","232","26346","43634","11739","22629","0","0.28774709461182556742","21.5190662683522168","1.3996803162228132"
"2020-02-01","2020","2","97274","2324","21009","7253","455","45880","75651","20186","39730","0","0.36435789625182474248","21.6277129551575961","1.4440649094310916"
"2020-03-01","2020","3","85833","1869","19386","6273","266","38440","66569","16969","33013","0","0.11920694837649854951","22.5543193177449233","1.5701205829925553"
"2020-04-01","2020","4","51399","1137","15249","3982","127","24604","39118","8667","18030","0","0.03207961244382186424","20.2882991887001693","1.3272359384423821"
"2020-05-01","2020","5","33118","675","8246","2087","73","13070","24535","5313","11042","0","0.02875596352436741349","15.0848330213177124","1.12852406546289027115"
"2020-06-01","2020","6","20477","423","2832","572","25","4709","14651","3214","6256","0","0.05792401230649020853","14.2413410167505006","1.04185769399814425941"
"2020-07-01","2020","7","14430","337","1402","343","6","2208","9782","2247","4342","0","0.00442134442134442134","12.9354151074151074","1.11365211365211365211"
"2020-08-01","2020","8","8320","256","690","184","0","1044","5556","1351","2402","0","0.03548197115384615385","12.2628209134615385","1.2299495192307692"
"2020-09-01","2020","9","7920","303","551","149","2","832","5315","1379","2416","0","0.01327020202020202020","14.6794292929292929","1.1685858585858586"
"2020-10-01","2020","10","7451","316","552","110","2","788","5038","1317","2200","0","0.05016373641121997047","14.4889263186149510","1.2757562743255939"
"2020-11-01","2020","11","7477","219","494","131","4","776","5049","1328","2173","0","0.07320181891132807276","13.8837889527885516","1.2314604788016584"
"2020-12-01","2020","12","9297","233","719","179","10","1077","6227","1601","2651","0","0.16063784016349360009","14.8900752931053028","1.1150016134236851"
"2021-01-01","2021","1","14941","335","2378","731","34","45","10118","2756","4659","0","0.11511411552104946121","14.7424389264440131","0.94067733083461615688"
"2021-02-01","2021","2","35316","765","7562","3788","84","0","25528","6663","11707","0","0.09275455884018575150","13.7803480009061049","0.91683769396307622607"
"2021-03-01","2021","3","70891","1067","13893","11321","145","0","51552","12512","23006","0","0.08226375703544878758","13.0190328814659125","0.74425738104978064917"
"2021-04-01","2021","4","85023","1262","18980","17307","189","0","63034","14446","26842","0","0.02538183785563906237","10.6002106488832434","0.72007445044282135422"
"2021-05-01","2021","5","58148","1019","11007","8615","144","0","41548","9455","17302","0","0.01803656187659076838","9.3323037765701314","0.63768366925775607072"
"2021-06-01","2021","6","26291","547","3760","2853","51","0","17988","4254","7407","0","0.01817313909702940170","9.0656072420219847","0.69177399109961583812"
